Name,Assigned Male,Year,Assigned Female,Total
Leslie,26.0,1974,5.0,31.0
Ruairi,1.0,1974,,1.0
Rorie,1.0,1974,,1.0
Rohit,1.0,1974,,1.0
Rohan,1.0,1974,,1.0
Robbi,1.0,1974,,1.0
Robb,1.0,1974,,1.0
Richie,1.0,1974,,1.0
Rian,1.0,1974,,1.0
Rhys,1.0,1974,,1.0
Reza,1.0,1974,,1.0
Ruairidh,1.0,1974,,1.0
Russel,1.0,1974,,1.0
Sergio,1.0,1974,,1.0
Sebastien,1.0,1974,,1.0
Sebastian,1.0,1974,,1.0
Saul,1.0,1974,,1.0
Sarah,1.0,1974,402.0,403.0
Sanjay,1.0,1974,,1.0
Samir,1.0,1974,,1.0
Saleem,1.0,1974,,1.0
Sajid,1.0,1974,,1.0
Sacha,1.0,1974,5.0,6.0
Ryan-Lee,1.0,1974,,1.0
Saqib,1.0,1974,1.0,2.0
Rex,1.0,1974,,1.0
Reese,1.0,1974,,1.0
Pierre,1.0,1974,,1.0
Pierce,1.0,1974,,1.0
Phil,1.0,1974,,1.0
Pamela,1.0,1974,282.0,283.0
Osman,1.0,1974,,1.0
Orlando,1.0,1974,,1.0
Omer,1.0,1974,,1.0
Pietro,1.0,1974,,1.0
Reece,1.0,1974,,1.0
Redmond,1.0,1974,,1.0
Reagan,1.0,1974,,1.0
Rashid,1.0,1974,,1.0
Rene,1.0,1974,,1.0
Rana,1.0,1974,,1.0
Rahul,1.0,1974,,1.0
Rae,1.0,1974,5.0,6.0
Quintin,1.0,1974,,1.0
Ramon,1.0,1974,,1.0
Tracey,1.0,1974,334.0,335.0
Thorfinn,1.0,1974,,1.0
Thor,1.0,1974,,1.0
Theo,1.0,1974,,1.0
Terrance,1.0,1974,,1.0
Tegan,1.0,1974,,1.0
Tarun,1.0,1974,,1.0
Tariq,1.0,1974,,1.0
Tarek,1.0,1974,,1.0
Tanvir,1.0,1974,,1.0
Trent,1.0,1974,,1.0
Tyrone,1.0,1974,,1.0
Wilfred,1.0,1974,,1.0
Weston,1.0,1974,,1.0
Wesley,1.0,1974,,1.0
Wasim,1.0,1974,,1.0
Warrick,1.0,1974,,1.0
Waleed,1.0,1974,,1.0
Umar,1.0,1974,,1.0
Tamer,1.0,1974,,1.0
Talal,1.0,1974,,1.0
Silas,1.0,1974,,1.0
Sheldon,1.0,1974,,1.0
Sheikh,1.0,1974,,1.0
Shazad,1.0,1974,,1.0
Shawn,1.0,1974,1.0,2.0
Sharon,1.0,1974,720.0,721.0
Shahed,1.0,1974,,1.0
Shehzad,1.0,1974,,1.0
Olivier,1.0,1974,,1.0
Tai,1.0,1974,,1.0
Syed,1.0,1974,,1.0
Sven,1.0,1974,,1.0
Sunil,1.0,1974,,1.0
Suhail,1.0,1974,,1.0
Sion,1.0,1974,,1.0
Stevie,1.0,1974,,1.0
Stevan,1.0,1974,,1.0
Stephane,1.0,1974,,1.0
Stacey,1.0,1974,16.0,17.0
Somhairle,1.0,1974,,1.0
Solomon,1.0,1974,,1.0
Olaf,1.0,1974,,1.0
Odin,1.0,1974,,1.0
Kiran,1.0,1974,,1.0
King,1.0,1974,,1.0
Kieren,1.0,1974,,1.0
